instance_id,flagged_path,oracle,manual,gold_files,independent_gold_files
pdm-project__pdm-2743,src/pdm/formats/poetry.py,bad,bad,news/2665.bugfix.md;src/pdm/formats/base.py;src/pdm/formats/poetry.py,news/2665.bugfix.md;src/pdm/formats/base.py;src/pdm/formats/poetry.py
pdm-project__pdm-2781,src/pdm/project/config.py,good,good,news/2779.bugfix.md;src/pdm/project/core.py,news/2779.bugfix.md;src/pdm/project/core.py
pdm-project__pdm-2886,src/pdm/cli/commands/update.py,bad,bad,news/2885.bugfix.md;src/pdm/cli/commands/update.py,news/2885.bugfix.md;src/pdm/cli/commands/update.py
pdm-project__pdm-3039,src/pdm/models/requirements.py,bad,bad,news/3038.bugfix.md;pdm.lock;pyproject.toml;src/pdm/models/candidates.py;src/pdm/models/finder.py;src/pdm/models/requirements.py;src/pdm/models/specifiers.py,news/3038.bugfix.md;pdm.lock;pyproject.toml;src/pdm/models/candidates.py;src/pdm/models/finder.py;src/pdm/models/requirements.py;src/pdm/models/specifiers.py
pvlib__pvlib-python-1971,docs/examples/irradiance-transposition/plot_ghi_transposition.py,good,good,docs/sphinx/source/whatsnew/v0.10.4.rst;pvlib/irradiance.py,docs/sphinx/source/whatsnew/v0.10.4.rst;pvlib/irradiance.py
pvlib__pvlib-python-2019,pvlib/tests/test_pvsystem.py,good,good,docs/sphinx/source/whatsnew/v0.10.5.rst;pvlib/pvsystem.py,docs/sphinx/source/whatsnew/v0.10.5.rst;pvlib/pvsystem.py
pvlib__pvlib-python-2041,pvlib/tools.py,bad,bad,docs/sphinx/source/reference/effects_on_pv_system_output/spectrum.rst;docs/sphinx/source/whatsnew/v0.11.0.rst;pvlib/spectrum/__init__.py;pvlib/spectrum/mismatch.py;pvlib/tools.py,docs/sphinx/source/reference/effects_on_pv_system_output/spectrum.rst;docs/sphinx/source/whatsnew/v0.11.0.rst;pvlib/spectrum/__init__.py;pvlib/spectrum/mismatch.py;pvlib/tools.py
pvlib__pvlib-python-2124,pvlib/irradiance.py,good,good,docs/sphinx/source/reference/airmass_atmospheric.rst;docs/sphinx/source/whatsnew/v0.11.1.rst;pvlib/atmosphere.py,docs/sphinx/source/reference/airmass_atmospheric.rst;docs/sphinx/source/whatsnew/v0.11.1.rst;pvlib/atmosphere.py
pvlib__pvlib-python-2217,pvlib/tests/test_clearsky.py,good,good,docs/sphinx/source/whatsnew/v0.11.1.rst;pvlib/clearsky.py,docs/sphinx/source/whatsnew/v0.11.1.rst;pvlib/clearsky.py
pylint-dev__pylint-9504,pylint/checkers/imports.py,good,good,.pyenchant_pylint_custom_dict.txt;doc/user_guide/configuration/all-options.rst;doc/whatsnew/fragments/9442.other;examples/pylintrc;examples/pyproject.toml;pylint/lint/base_options.py;pylint/lint/pylinter.py;pylintrc,.pyenchant_pylint_custom_dict.txt;doc/user_guide/configuration/all-options.rst;doc/whatsnew/fragments/9442.other;examples/pylintrc;examples/pyproject.toml;pylint/lint/base_options.py;pylint/lint/pylinter.py;pylintrc
pylint-dev__pylint-9534,pylint/checkers/imports.py,good,good,doc/whatsnew/fragments/3501.feature;pylint/checkers/utils.py,doc/whatsnew/fragments/3501.feature;pylint/checkers/utils.py
pylint-dev__pylint-9592,pylint/lint/pylinter.py,good,good,doc/whatsnew/fragments/9584.false_negative;pylint/checkers/classes/class_checker.py,doc/whatsnew/fragments/9584.false_negative;pylint/checkers/classes/class_checker.py
reflex-dev__reflex-3006,reflex/compiler/compiler.py,good,good,reflex/app.py;reflex/components/component.py;reflex/reflex.py;reflex/utils/export.py;reflex/utils/imports.py;reflex/utils/prerequisites.py,reflex/app.py;reflex/components/component.py;reflex/reflex.py;reflex/utils/export.py;reflex/utils/imports.py;reflex/utils/prerequisites.py
reflex-dev__reflex-3179,reflex/state.py,good,good,reflex/components/component.py,reflex/components/component.py
reflex-dev__reflex-3336,reflex/components/core/cond.py,bad,bad,reflex/components/core/cond.py,reflex/components/core/cond.py
reflex-dev__reflex-3462,reflex/constants/base.py,bad,bad,reflex/app.py;reflex/compiler/compiler.py;reflex/compiler/utils.py;reflex/constants/__init__.py;reflex/constants/base.py;reflex/constants/compiler.py;reflex/constants/installer.py;reflex/constants/style.py;reflex/utils/build.py;reflex/utils/exec.py;reflex/utils/export.py;reflex/utils/path_ops.py;reflex/utils/prerequisites.py;reflex/utils/watch.py,reflex/app.py;reflex/compiler/compiler.py;reflex/compiler/utils.py;reflex/constants/__init__.py;reflex/constants/base.py;reflex/constants/compiler.py;reflex/constants/installer.py;reflex/constants/style.py;reflex/utils/build.py;reflex/utils/exec.py;reflex/utils/export.py;reflex/utils/path_ops.py;reflex/utils/prerequisites.py;reflex/utils/watch.py
reflex-dev__reflex-3833,reflex/state.py,bad,bad,reflex/state.py,reflex/state.py
sissbruecker__linkding-687,bookmarks/services/tasks.py,bad,bad,bookmarks/services/tasks.py,bookmarks/services/tasks.py
sissbruecker__linkding-696,bookmarks/models.py,good,good,bookmarks/services/tasks.py;bookmarks/templates/settings/general.html;bookmarks/views/settings.py,bookmarks/services/tasks.py;bookmarks/templates/settings/general.html;bookmarks/views/settings.py
sissbruecker__linkding-810,bookmarks/models.py,good,good,bookmarks/feeds.py;bookmarks/templates/settings/integrations.html,bookmarks/feeds.py;bookmarks/templates/settings/integrations.html
sissbruecker__linkding-810,bookmarks/views/bookmarks.py,good,good,bookmarks/feeds.py;bookmarks/templates/settings/integrations.html,bookmarks/feeds.py;bookmarks/templates/settings/integrations.html
sissbruecker__linkding-863,bookmarks/templatetags/shared.py,good,good,bookmarks/migrations/0042_userprofile_custom_css_hash.py;bookmarks/models.py;bookmarks/templates/bookmarks/head.html;bookmarks/urls.py;bookmarks/views/__init__.py;bookmarks/views/custom_css.py,bookmarks/migrations/0042_userprofile_custom_css_hash.py;bookmarks/models.py;bookmarks/templates/bookmarks/head.html;bookmarks/urls.py;bookmarks/views/__init__.py;bookmarks/views/custom_css.py
sphinx-doc__sphinx-11876,sphinx/builders/linkcheck.py,bad,bad,CHANGES.rst;sphinx/builders/linkcheck.py,CHANGES.rst;sphinx/builders/linkcheck.py
sphinx-doc__sphinx-11904,sphinx/ext/intersphinx.py,good,good,sphinx/domains/python/_annotations.py,sphinx/domains/python/_annotations.py
sphinx-doc__sphinx-12131,sphinx/application.py,good,good,CHANGES.rst;doc/conf.py;doc/usage/configuration.rst;sphinx/config.py;sphinx/util/logging.py,CHANGES.rst;doc/conf.py;doc/usage/configuration.rst;sphinx/config.py;sphinx/util/logging.py
sphinx-doc__sphinx-12495,sphinx/util/i18n.py,good,good,CHANGES.rst;sphinx/domains/std/__init__.py;sphinx/transforms/i18n.py,CHANGES.rst;sphinx/domains/std/__init__.py;sphinx/transforms/i18n.py
sphinx-doc__sphinx-12516,sphinx/util/docutils.py,good,good,CHANGES.rst;sphinx/config.py,CHANGES.rst;sphinx/config.py
streamlink__streamlink-5858,src/streamlink/plugin/plugin.py,good,good,src/streamlink/plugins/ltv_lsm_lv.py,src/streamlink/plugins/ltv_lsm_lv.py
streamlink__streamlink-5932,src/streamlink/plugin/api/validate/_validate.py,good,good,src/streamlink/plugin/api/validate/_validators.py,src/streamlink/plugin/api/validate/_validators.py
