instance_id,flagged_path,oracle,manual,gold_files
reflex-dev__reflex-3006,reflex/compiler/compiler.py,good,,reflex/app.py;reflex/components/component.py;reflex/reflex.py;reflex/utils/export.py;reflex/utils/imports.py;reflex/utils/prerequisites.py
reflex-dev__reflex-3179,reflex/state.py,good,,reflex/components/component.py
reflex-dev__reflex-3336,reflex/components/core/cond.py,bad,,reflex/components/core/cond.py
reflex-dev__reflex-3462,reflex/constants/base.py,bad,,reflex/app.py;reflex/compiler/compiler.py;reflex/compiler/utils.py;reflex/constants/__init__.py;reflex/constants/base.py;reflex/constants/compiler.py;reflex/constants/installer.py;reflex/constants/style.py;reflex/utils/build.py;reflex/utils/exec.py;reflex/utils/export.py;reflex/utils/path_ops.py;reflex/utils/prerequisites.py;reflex/utils/watch.py
reflex-dev__reflex-3833,reflex/state.py,bad,,reflex/state.py
sissbruecker__linkding-687,bookmarks/services/tasks.py,bad,,bookmarks/services/tasks.py
sissbruecker__linkding-696,bookmarks/models.py,good,,bookmarks/services/tasks.py;bookmarks/templates/settings/general.html;bookmarks/views/settings.py
sissbruecker__linkding-810,bookmarks/models.py,good,,bookmarks/feeds.py;bookmarks/templates/settings/integrations.html
sissbruecker__linkding-810,bookmarks/views/bookmarks.py,good,,bookmarks/feeds.py;bookmarks/templates/settings/integrations.html
sissbruecker__linkding-863,bookmarks/templatetags/shared.py,good,,bookmarks/migrations/0042_userprofile_custom_css_hash.py;bookmarks/models.py;bookmarks/templates/bookmarks/head.html;bookmarks/urls.py;bookmarks/views/__init__.py;bookmarks/views/custom_css.py
sphinx-doc__sphinx-11876,sphinx/builders/linkcheck.py,bad,,CHANGES.rst;sphinx/builders/linkcheck.py
sphinx-doc__sphinx-11904,sphinx/ext/intersphinx.py,good,,sphinx/domains/python/_annotations.py
sphinx-doc__sphinx-12131,sphinx/application.py,good,,CHANGES.rst;doc/conf.py;doc/usage/configuration.rst;sphinx/config.py;sphinx/util/logging.py
sphinx-doc__sphinx-12495,sphinx/util/i18n.py,good,,CHANGES.rst;sphinx/domains/std/__init__.py;sphinx/transforms/i18n.py
sphinx-doc__sphinx-12516,sphinx/util/docutils.py,good,,CHANGES.rst;sphinx/config.py
streamlink__streamlink-5858,src/streamlink/plugin/plugin.py,good,,src/streamlink/plugins/ltv_lsm_lv.py
streamlink__streamlink-5932,src/streamlink/plugin/api/validate/_validate.py,good,,src/streamlink/plugin/api/validate/_validators.py
