instance_id,flagged_path,oracle,manual,gold_files
matplotlib__matplotlib-27767,lib/matplotlib/artist.py,good,,doc/api/next_api_changes/behavior/27767-REC.rst;doc/api/next_api_changes/deprecations/27767-REC.rst;lib/matplotlib/axes/_base.py
pdm-project__pdm-2539,src/pdm/models/project_info.py,good,,news/2538.bugfix.md;src/pdm/cli/commands/list.py
pdm-project__pdm-2551,src/pdm/project/project_file.py,bad,,docs/docs/usage/config.md;docs/docs/usage/dependency.md;news/1316.bugfix.md;news/1316.feature.md;src/pdm/environments/__init__.py;src/pdm/environments/base.py;src/pdm/exceptions.py;src/pdm/installers/core.py;src/pdm/models/environment.py;src/pdm/project/core.py;src/pdm/project/project_file.py;src/pdm/resolver/providers.py
pdm-project__pdm-2554,src/pdm/project/project_file.py,bad,,docs/docs/usage/config.md;docs/docs/usage/dependency.md;news/2552.feature.1.md;news/2552.feature.2.md;news/2552.feature.3.md;src/pdm/cli/commands/add.py;src/pdm/cli/commands/update.py;src/pdm/cli/options.py;src/pdm/formats/pipfile.py;src/pdm/models/requirements.py;src/pdm/project/core.py;src/pdm/project/project_file.py;src/pdm/resolver/providers.py
pdm-project__pdm-2688,src/pdm/cli/commands/install.py,good,,news/2636.feature.md;src/pdm/builders/__init__.py;src/pdm/builders/base.py;src/pdm/builders/editable.py;src/pdm/builders/sdist.py;src/pdm/builders/wheel.py;src/pdm/cli/commands/build.py;src/pdm/cli/commands/lock.py;src/pdm/cli/completions/pdm.bash;src/pdm/cli/completions/pdm.fish;src/pdm/cli/completions/pdm.ps1;src/pdm/cli/completions/pdm.zsh;src/pdm/cli/options.py;src/pdm/core.py
pdm-project__pdm-2688,src/pdm/installers/core.py,good,,news/2636.feature.md;src/pdm/builders/__init__.py;src/pdm/builders/base.py;src/pdm/builders/editable.py;src/pdm/builders/sdist.py;src/pdm/builders/wheel.py;src/pdm/cli/commands/build.py;src/pdm/cli/commands/lock.py;src/pdm/cli/completions/pdm.bash;src/pdm/cli/completions/pdm.fish;src/pdm/cli/completions/pdm.ps1;src/pdm/cli/completions/pdm.zsh;src/pdm/cli/options.py;src/pdm/core.py
pdm-project__pdm-2750,src/pdm/core.py,good,,news/2747.bugfix.md;src/pdm/installers/manager.py;src/pdm/models/cached_package.py;src/pdm/models/caches.py;src/pdm/models/candidates.py
pdm-project__pdm-2800,src/pdm/cli/commands/lock.py,good,,news/2799.bugfix.md;src/pdm/cli/filters.py
pdm-project__pdm-2819,src/pdm/project/config.py,good,,docs/usage/lockfile.md;news/2656.feature.md;src/pdm/environments/base.py;src/pdm/project/core.py
pvlib__pvlib-python-2019,pvlib/pvsystem.py,bad,,docs/sphinx/source/whatsnew/v0.10.5.rst;pvlib/pvsystem.py
pvlib__pvlib-python-2048,pvlib/pvsystem.py,good,,docs/examples/agrivoltaics/README.rst;docs/examples/agrivoltaics/plot_diffuse_PAR_Spitters_relationship.py;docs/sphinx/source/reference/irradiance/components.rst;docs/sphinx/source/whatsnew/v0.11.0.rst;pvlib/irradiance.py
pvlib__pvlib-python-2100,pvlib/spectrum/mismatch.py,bad,,docs/sphinx/source/whatsnew/v0.11.1.rst;pvlib/spectrum/mismatch.py
pvlib__pvlib-python-2133,pvlib/solarposition.py,bad,,docs/sphinx/source/whatsnew/v0.11.2.rst;pvlib/solarposition.py
pvlib__pvlib-python-2249,pvlib/spa.py,bad,,docs/sphinx/source/whatsnew/v0.11.2.rst;pvlib/spa.py
pylint-dev__pylint-9634,pylint/checkers/variables.py,bad,,doc/whatsnew/fragments/9627.false_positive;pylint/checkers/variables.py
pylint-dev__pylint-9700,pylint/checkers/utils.py,good,,doc/whatsnew/fragments/9696.false_positive;pylint/checkers/refactoring/refactoring_checker.py
reflex-dev__reflex-2936,reflex/components/markdown/markdown.py,good,,reflex/components/radix/themes/layout/list.py;reflex/components/radix/themes/layout/list.pyi
reflex-dev__reflex-3006,reflex/config.py,good,,reflex/app.py;reflex/components/component.py;reflex/reflex.py;reflex/utils/export.py;reflex/utils/imports.py;reflex/utils/prerequisites.py
sissbruecker__linkding-613,bookmarks/tests/test_tag_cloud_template.py,good,,bookmarks/views/partials/contexts.py
sissbruecker__linkding-703,bookmarks/services/parser.py,good,,bookmarks/static/vendor/Readability.js;bookmarks/styles/reader-mode.scss;bookmarks/styles/theme-dark.scss;bookmarks/styles/theme-light.scss;bookmarks/templates/bookmarks/details/form.html;bookmarks/templates/bookmarks/read.html;bookmarks/urls.py;bookmarks/views/assets.py;bookmarks/views/partials/contexts.py
sissbruecker__linkding-804,bookmarks/services/wayback.py,bad,,bookmarks/services/importer.py;bookmarks/services/tasks.py;bookmarks/services/wayback.py;bookmarks/signals.py;bookmarks/views/partials/contexts.py
sissbruecker__linkding-819,bookmarks/views/bookmarks.py,good,,bookmarks/models.py
sissbruecker__linkding-820,bookmarks/services/auto_tagging.py,bad,,bookmarks/api/routes.py;bookmarks/services/auto_tagging.py;bookmarks/services/bookmarks.py
sphinx-doc__sphinx-11876,sphinx/builders/linkcheck.py,bad,,CHANGES.rst;sphinx/builders/linkcheck.py
sphinx-doc__sphinx-11905,sphinx/domains/changeset.py,bad,,doc/usage/builders/index.rst;doc/usage/restructuredtext/directives.rst;sphinx/addnodes.py;sphinx/builders/changes.py;sphinx/domains/changeset.py
sphinx-doc__sphinx-12003,sphinx/config.py,good,,CHANGES.rst;sphinx/ext/autodoc/__init__.py;sphinx/ext/autodoc/typehints.py;sphinx/ext/napoleon/docstring.py;sphinx/util/inspect.py;sphinx/util/typing.py
sphinx-doc__sphinx-12196,sphinx/builders/__init__.py,good,,sphinx/config.py
sphinx-doc__sphinx-12197,sphinx/builders/linkcheck.py,bad,,CHANGES.rst;sphinx/builders/linkcheck.py
streamlink__streamlink-5822,src/streamlink/session/session.py,bad,,src/streamlink/session/plugins.py;src/streamlink/session/session.py;src/streamlink/utils/module.py;src/streamlink_cli/_parser.py;src/streamlink_cli/main.py
streamlink__streamlink-5858,src/streamlink/plugins/ltv_lsm_lv.py,bad,,src/streamlink/plugins/ltv_lsm_lv.py
streamlink__streamlink-5861,src/streamlink/utils/crypto.py,good,,src/streamlink/stream/hls/hls.py;src/streamlink/stream/hls/m3u8.py;src/streamlink/stream/hls/segment.py
streamlink__streamlink-5890,src/streamlink/plugins/tv3cat.py,bad,,src/streamlink/plugins/tv3cat.py
streamlink__streamlink-5908,src/streamlink/plugins/vkplay.py,bad,,src/streamlink/plugins/vkplay.py
